CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,Phone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Location 1
250081,ANDERSON RMC SOUTH,1102 CONSTITUTION AVENUE,,MERIDIAN,MS,39301,LAUDERDALE,(601) 484-3590,4,S_001_01_NUMERATOR,403,,07/01/2018,06/30/2019,"1102 CONSTITUTION AVENUE MERIDIAN, MS 39301 (32.36779, -88.699315)"
490001,NORTON COMMUNITY HOSPITAL,100  15TH NW STREET,,NORTON,VA,24273,NORTON CITY,(276) 439-1000,3,S_005_01_DTC_RS_RATE_2_5,40.85,,10/01/2016,09/30/2018,"100  15TH NW STREET NORTON, VA 24273 (36.932031, -82.64338)"
450747,PALESTINE REGIONAL MEDICAL CENTER,2900 S LOOP 256,,PALESTINE,TX,75801,ANDERSON,(903) 731-1000,6,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"2900 S LOOP 256 PALESTINE, TX 75801 (31.733374, -95.625307)"
170109,MIAMI COUNTY MEDICAL CENTER,2100 BAPTISTE DRIVE,,PAOLA,KS,66071,MIAMI,(913) 557-4385,7,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"2100 BAPTISTE DRIVE PAOLA, KS 66071 (38.568591, -94.850849)"
260160,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,1200 N ONE MILE RD,,DEXTER,MO,63841,STODDARD,(573) 624-5566,7,S_001_01_OBS_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"1200 N ONE MILE RD DEXTER, MO 63841 (36.807432, -89.969973)"
420055,MUSC HEALTH MARION MEDICAL CENTER,2829 E HWY 76,,MULLINS,SC,29574,MARION,(843) 431-2000,4,S_013_01_DENOMINATOR,14,13,07/01/2018,06/30/2019,"2829 E HWY 76 MULLINS, SC 29574 (34.189232, -79.321945)"
190116,MOREHOUSE GENERAL HOSPITAL,323 W WALNUT,,BASTROP,LA,71220,MOREHOUSE,(318) 283-3600,6,S_002_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,
150064,FAYETTE REGIONAL HEALTH SYSTEM,1941 VIRGINIA AVE,,CONNERSVILLE,IN,47331,FAYETTE,(765) 825-5131,5,S_004_01_PPR_PD_OBS,Not Available,1,10/01/2016,09/30/2018,"1941 VIRGINIA AVE CONNERSVILLE, IN 47331 (39.65592, -85.131984)"
440064,(CLOSED) GRANDVIEW MEDICAL CENTER,1000 HIGHWAY 28,,JASPER,TN,37347,MARION,(423) 837-9500,4,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1000 HIGHWAY 28 JASPER, TN 37347 (35.047727, -85.631661)"
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,5,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"3535 OLENTANGY RIVER RD COLUMBUS, OH 43214 (40.031962, -83.031294)"
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,,ANDREWS,TX,79714,ANDREWS,(432) 523-2200,6,S_005_01_DTC_RS_RATE _97_5,Not Available,9,10/01/2016,09/30/2018,"720 HOSPITAL DRIVE ANDREWS, TX 79714 (32.337424, -102.546866)"
110051,UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,,BLAIRSVILLE,GA,30512,UNION,(706) 745-2111,4,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"35 HOSPITAL ROAD BLAIRSVILLE, GA 30512 (34.884842, -83.963026)"
050528,MEMORIAL HOSPITAL LOS BANOS,520 WEST I ST,,LOS BANOS,CA,93635,MERCED,(209) 826-0591,9,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"520 WEST I ST LOS BANOS, CA 93635 (37.063431, -120.859407)"
040001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,,SILOAM SPRINGS,AR,72761,BENTON,(479) 524-4141,6,S_001_01_OBS_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"603 NORTH PROGRESS AVENUE SILOAM SPRINGS, AR 72761 (36.190377, -94.509658)"
110189,FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5 NORTH,,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,4,S_005_01_DTC_RS_RATE,Not Available,1,10/01/2016,09/30/2018,"2855 OLD HIGHWAY 5 NORTH BLUE RIDGE, GA 30513 (34.916923, -84.375509)"
110051,UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,,BLAIRSVILLE,GA,30512,UNION,(706) 745-2111,4,S_013_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"35 HOSPITAL ROAD BLAIRSVILLE, GA 30512 (34.884842, -83.963026)"
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,,GREENSBORO,AL,36744,HALE,(334) 624-3024,4,S_004_01_PPR_PD_VOLUME,108,,10/01/2016,09/30/2018,"508 GREEN STREET GREENSBORO, AL 36744 (32.412098, -87.018633)"
170023,ST CATHERINE HOSPITAL,401 EAST SPRUCE,,GARDEN CITY,KS,67846,FINNEY,(620) 272-2222,7,S_005_01_DTC_RS_RATE _97_5,Not Available,1,10/01/2016,09/30/2018,"401 EAST SPRUCE GARDEN CITY, KS 67846 (37.968871, -100.868615)"
040011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,,DANVILLE,AR,72833,YELL,(479) 495-2241,6,S_002_01_DENOMINATOR,150,13,07/01/2018,06/30/2019,"719 DETROIT STREET DANVILLE, AR 72833 (35.054823, -93.388543)"
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,4,S_002_01_OBS_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"849 SOUTH THREE NOTCH STREET ANDALUSIA, AL 36420 (31.297462, -86.495599)"
430012,AVERA SACRED HEART HOSPITAL,501 SUMMIT ST,,YANKTON,SD,57078,YANKTON,(605) 668-8000,8,S_005_01_DTC_RS_RATE _97_5,71.62,,10/01/2016,09/30/2018,"501 SUMMIT ST YANKTON, SD 57078 (42.872573, -97.406945)"
443030,WEST TENNESSEE HEALTHCARE REHABILITATION HOSPITAL,180 MOUNT PELIA ROAD,,MARTIN,TN,38237,WEAKLEY,(731) 587-4261,4,S_005_01_DTC_NUMBER,Not Available,1,10/01/2016,09/30/2018,"180 MOUNT PELIA ROAD MARTIN, TN 38237 (36.333052, -88.870469)"
260142,FITZGIBBON HOSPITAL,2305 S 65 HIGHWAY,,MARSHALL,MO,65340,SALINE,(660) 886-7431,7,S_001_01_DENOMINATOR,29,,07/01/2018,06/30/2019,
200050,NORTHERN LIGHT MAINE COAST HOSPITAL,50 UNION STREET,,ELLSWORTH,ME,04605,HANCOCK,(207) 667-5311,1,S_013_01_NUMERATOR,0,,07/01/2018,06/30/2019,"50 UNION STREET ELLSWORTH, ME 04605 (44.546574, -68.415526)"
050296,HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DRIVE,,HOLLISTER,CA,95023,SAN BENITO,(831) 637-5711,9,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"911 SUNSET DRIVE HOLLISTER, CA 95023 (36.835122, -121.38662)"
430013,AVERA QUEEN OF PEACE,525 N FOSTER,,MITCHELL,SD,57301,DAVISON,(605) 995-2000,8,S_006_01_MSPB_SCORE,0.59,,10/01/2016,09/30/2018,"525 N FOSTER MITCHELL, SD 57301 (43.713842, -98.007325)"
440110,FORT LOUDON MEDICAL CENTER,550 FORT LOUDON MEDICAL CENTER DR,,LENOIR CITY,TN,37772,LOUDON,(865) 271-6000,4,S_005_01_DTC_RS_RATE _97_5,Not Available,1,10/01/2016,09/30/2018,"550 FORT LOUDON MEDICAL CENTER DR LENOIR CITY, TN 37772 (35.827108, -84.271752)"
520196,OAKLEAF SURGICAL HOSPITAL,1000 OAKLEAF WAY,,ALTOONA,WI,54720,EAU CLAIRE,(715) 831-8130,5,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1000 OAKLEAF WAY ALTOONA, WI 54720 (44.815002, -91.451764)"
160040,MERCYONE CEDAR FALLS MEDICAL CENTER,515 COLLEGE STREET,,CEDAR FALLS,IA,50613,BLACK HAWK,(319) 268-3000,7,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"515 COLLEGE STREET CEDAR FALLS, IA 50613 (42.533922, -92.455969)"
110040,NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,,COMMERCE,GA,30529,JACKSON,(706) 335-1100,4,S_001_01_OBS_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"70 MEDICAL CENTER DRIVE COMMERCE, GA 30529 (34.218475, -83.469116)"
010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,,GREENVILLE,AL,36037,BUTLER,(334) 382-2200,4,S_005_01_DTC_RS_RATE,Not Available,9,10/01/2016,09/30/2018,"29 L V STABLER DRIVE GREENVILLE, AL 36037 (31.82945, -86.64586)"
230015,THREE RIVERS HEALTH,701 S HEALTH PARKWAY,,THREE RIVERS,MI,49093,ST. JOSEPH,(269) 273-9602,5,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"701 S HEALTH PARKWAY THREE RIVERS, MI 49093 (41.934946, -85.647048)"
440040,PERRY COMMUNITY HOSPITAL,2718 SQUIRREL HOLLOW DRIVE,,LINDEN,TN,37096,PERRY,(931) 589-2121,4,S_005_01_DTC_COMP_PERF,Worse than the National Rate,,10/01/2016,09/30/2018,"2718 SQUIRREL HOLLOW DRIVE LINDEN, TN 37096 (35.591854, -87.862909)"
110026,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,,ELBERTON,GA,30635,ELBERT,(706) 213-2535,4,S_001_01_DENOMINATOR,60,,07/01/2018,06/30/2019,"4 MEDICAL DRIVE ELBERTON, GA 30635 (34.113068, -82.875601)"
110142,EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,,CLAXTON,GA,30417,EVANS,(912) 739-5105,4,S_004_01_PPR_PD_RSRR_97_5,Not Available,9,10/01/2016,09/30/2018,"200 N RIVER STREET CLAXTON, GA 30417 (32.164133, -81.900403)"
040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1001 SCHNEIDER DRIVE,,MALVERN,AR,72104,HOT SPRING,(501) 332-1000,6,S_004_01_PPR_PD_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"1001 SCHNEIDER DRIVE MALVERN, AR 72104 (34.358913, -92.786418)"
180066,LOGAN MEMORIAL HOSPITAL,1625 NASHVILLE STREET,,RUSSELLVILLE,KY,42276,LOGAN,(270) 726-4011,4,S_001_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"1625 NASHVILLE STREET RUSSELLVILLE, KY 42276 (36.815437, -86.882593)"
390008,ELLWOOD CITY MEDICAL CENTER,724 PERSHING STREET,,ELLWOOD CITY,PA,16117,LAWRENCE,(724) 752-0081,3,S_001_01_DENOMINATOR,4,13,07/01/2018,06/30/2019,"724 PERSHING STREET ELLWOOD CITY, PA 16117 (40.869349, -80.274479)"
180124,TRISTAR GREENVIEW REGIONAL HOSPITAL,1801 ASHLEY CIRCLE,,BOWLING GREEN,KY,42104,WARREN,(270) 793-1000,4,S_005_01_DTC_VOLUME,197,,10/01/2016,09/30/2018,"1801 ASHLEY CIRCLE BOWLING GREEN, KY 42104 (36.965672, -86.435599)"
250017,TRACE REGIONAL HOSP AND SWING BED,1002 EAST MADISON STREET,,HOUSTON,MS,38851,CHICKASAW,(662) 456-3700,4,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,,10/01/2016,09/30/2018,"1002 EAST MADISON STREET HOUSTON, MS 38851 (33.89479, -88.985085)"
110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,,MOULTRIE,GA,31768,COLQUITT,(229) 985-3420,4,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,,10/01/2016,09/30/2018,"3131 THOMASVILLE HWY BOX 40 MOULTRIE, GA 31768 (31.126747, -83.782918)"
230108,UP HEALTH SYSTEM PORTAGE,500 CAMPUS DRIVE,,HANCOCK,MI,49930,HOUGHTON,(906) 483-1000,5,S_006_01_MSPB_NUMB,30,,10/01/2016,09/30/2018,"500 CAMPUS DRIVE HANCOCK, MI 49930 (47.141346, -88.585643)"
120006,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,,KAILUA,HI,96734,HONOLULU,(808) 263-5500,9,S_004_01_PPR_PD_VOLUME,0,,10/01/2016,09/30/2018,"640 ULUKAHIKI ST KAILUA, HI 96734 (21.381502, -157.757229)"
260024,TEXAS COUNTY MEMORIAL HOSPITAL,1333 SAM HOUSTON BOULEVARD,,HOUSTON,MO,65483,TEXAS,(417) 967-3311,7,S_002_01_DENOMINATOR,94,,07/01/2018,06/30/2019,"1333 SAM HOUSTON BOULEVARD HOUSTON, MO 65483 (37.315756, -91.959559)"
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,FOLEY,AL,36535,BALDWIN,(251) 949-3400,4,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1613 NORTH MCKENZIE STREET FOLEY, AL 36535 (30.426109, -87.683187)"
470024,NORTHWESTERN MEDICAL CENTER INC,133 FAIRFIELD STREET,,SAINT ALBANS,VT,05478,FRANKLIN,(802) 524-5911,1,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"133 FAIRFIELD STREET SAINT ALBANS, VT 05478 (44.806463, -73.072549)"
450460,TYLER COUNTY HOSPITAL,1100 WEST BLUFF,,WOODVILLE,TX,75979,TYLER,(409) 283-8141,6,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1100 WEST BLUFF WOODVILLE, TX 75979 (30.775287, -94.42822)"
450411,EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,,EASTLAND,TX,76448,EASTLAND,(254) 629-2601,6,S_005_01_DTC_RS_RATE,71.18,,10/01/2016,09/30/2018,"304 S DAUGHERTY EASTLAND, TX 76448 (32.400439, -98.821636)"
180128,THREE RIVERS MEDICAL CENTER,2485 HIGHWAY 644,,LOUISA,KY,41230,LAWRENCE,(606) 638-9451,4,S_004_01_PPR_PD_RSRR,Not Available,9,10/01/2016,09/30/2018,"2485 HIGHWAY 644 LOUISA, KY 41230 (38.0933, -82.60474)"
180115,ROCKCASTLE REGIONAL HOSPITAL & RESPIRATORY CARE CT,145 NEWCOMB AVENUE,,MOUNT VERNON,KY,40456,ROCKCASTLE,(606) 256-2195,4,S_005_01_DTC_RS_RATE,Not Available,9,10/01/2016,09/30/2018,"145 NEWCOMB AVENUE MOUNT VERNON, KY 40456 (37.358006, -84.337001)"
050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,9,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"350 HAWTHORNE AVENUE OAKLAND, CA 94609 (37.820784, -122.26328)"
440132,HENRY COUNTY MEDICAL CENTER,301 TYSON AV,,PARIS,TN,38242,HENRY,(731) 642-1220,4,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"301 TYSON AV PARIS, TN 38242 (36.296802, -88.311271)"
180127,FRANKFORT REGIONAL MEDICAL CENTER,299 KINGS DAUGHTERS DRIVE,,FRANKFORT,KY,40601,FRANKLIN,(502) 875-5240,4,S_005_01_DTC_NUMBER,Not Available,1,10/01/2016,09/30/2018,"299 KINGS DAUGHTERS DRIVE FRANKFORT, KY 40601 (38.159774, -84.905753)"
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,,EL DORADO,KS,67042,BUTLER,(316) 321-3300,7,S_005_01_DTC_NUMBER,84,,10/01/2016,09/30/2018,"720 W CENTRAL ST EL DORADO, KS 67042 (37.817438, -96.858795)"
320062,CROWNPOINT HEALTHCARE FACILITY,JUNCTION OF HWY 371,,CROWNPOINT,NM,87313,MCKINLEY,(505) 786-5291,6,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,
380002,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,,GRANTS PASS,OR,97527,JOSEPHINE,(541) 472-7000,10,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"500 SW RAMSEY AVENUE GRANTS PASS, OR 97527 (42.420437, -123.341495)"
140286,KISHWAUKEE COMMUNITY HOSPITAL,1 KISH HOSPITAL DRIVE,,DEKALB,IL,60115,DEKALB,(815) 756-1521,5,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"1 KISH HOSPITAL DRIVE DEKALB, IL 60115 (41.96188, -88.72226)"
260160,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,1200 N ONE MILE RD,,DEXTER,MO,63841,STODDARD,(573) 624-5566,7,S_006_01_MSPB_NUMB,28,,10/01/2016,09/30/2018,"1200 N ONE MILE RD DEXTER, MO 63841 (36.807432, -89.969973)"
190133,ALLEN PARISH HOSPITAL,108 6TH AVENUE,,KINDER,LA,70648,ALLEN,(337) 738-2527,6,S_005_01_DTC_RS_RATE _97_5,Not Available,9,10/01/2016,09/30/2018,"108 6TH AVENUE KINDER, LA 70648 (30.491453, -92.855648)"
390125,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,,HONESDALE,PA,18431,WAYNE,(570) 253-8100,3,S_005_01_DTC_RS_RATE,76.38,,10/01/2016,09/30/2018,"601 PARK STREET HONESDALE, PA 18431 (41.576284, -75.259796)"
440151,SAINT THOMAS RIVER PARK HOSPITAL,1559 SPARTA STREET,,MC MINNVILLE,TN,37110,WARREN,(931) 815-4101,4,S_004_01_PPR_PD_VOLUME,0,,10/01/2016,09/30/2018,"1559 SPARTA STREET MC MINNVILLE, TN 37110 (35.698694, -85.742339)"
100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,,BARTOW,FL,33831,POLK,(863) 533-8111,4,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"2200 OSPREY BLVD BARTOW, FL 33831 (27.919146, -81.846254)"
330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,111  CLARA BARTON STREET,,DANSVILLE,NY,14437,LIVINGSTON,(585) 335-6001,2,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"111  CLARA BARTON STREET DANSVILLE, NY 14437 (42.55213, -77.700356)"
250049,BEACHAM MEMORIAL HOSPITAL,205 N CHERRY STREET,,MAGNOLIA,MS,39652,PIKE,(601) 783-2353,4,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"205 N CHERRY STREET MAGNOLIA, MS 39652 (31.145626, -90.45929)"
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,4,S_004_01_PPR_PD_VOLUME,86,,10/01/2016,09/30/2018,"400 NORTHWOOD DR CENTRE, AL 35960 (34.162761, -85.65142)"
040067,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,,MAGNOLIA,AR,71754,COLUMBIA,(870) 235-3000,6,S_006_01_MSPB_SCORE,0.71,,10/01/2016,09/30/2018,"101 HOSPITAL DRIVE MAGNOLIA, AR 71754 (33.275123, -93.240071)"
180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,,DANVILLE,KY,40422,BOYLE,(859) 239-2409,4,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"217 SOUTH THIRD STREET DANVILLE, KY 40422 (37.643818, -84.772638)"
440192,SAINT THOMAS HIGHLANDS HOSPITAL,401 SEWELL DR,,SPARTA,TN,38583,WHITE,(931) 738-9211,4,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"401 SEWELL DR SPARTA, TN 38583 (35.94812, -85.477074)"
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,4,S_002_01_ADJ_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"849 SOUTH THREE NOTCH STREET ANDALUSIA, AL 36420 (31.297462, -86.495599)"
520019,ASCENSION ST MARYS HOSPITAL,2251 NORTH SHORE DR,,RHINELANDER,WI,54501,ONEIDA,(715) 361-2000,5,S_005_01_DTC_NUMBER,Not Available,1,10/01/2016,09/30/2018,"2251 NORTH SHORE DR RHINELANDER, WI 54501 (45.638482, -89.31114)"
180101,GEORGETOWN COMMUNITY HOSPITAL,1140 LEXINGTON ROAD,,GEORGETOWN,KY,40324,SCOTT,(502) 868-1100,4,S_005_01_DTC_RS_RATE_2_5,Not Available,9,10/01/2016,09/30/2018,"1140 LEXINGTON ROAD GEORGETOWN, KY 40324 (38.186223, -84.562445)"
450099,PAMPA REGIONAL MEDICAL CENTER,1 MEDICAL PLAZA,,PAMPA,TX,79065,GRAY,(806) 665-3721,6,S_005_01_DTC_OBS_RATE,Not Available,1,10/01/2016,09/30/2018,"1 MEDICAL PLAZA PAMPA, TX 79065 (35.656991, -101.407964)"
340159,PERSON MEMORIAL HOSPITAL,615 RIDGE RD,,ROXBORO,NC,27573,PERSON,(336) 599-2121,4,S_004_01_PPR_PD_RSRR,Not Available,1,10/01/2016,09/30/2018,"615 RIDGE RD ROXBORO, NC 27573 (36.407549, -78.984763)"
390199,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,,PUNXSUTAWNEY,PA,15767,JEFFERSON,(814) 938-1800,3,S_005_01_DTC_OBS_RATE,71.23,,10/01/2016,09/30/2018,"81 HILLCREST DRIVE PUNXSUTAWNEY, PA 15767 (40.960153, -79.000359)"
450654,STARR COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,,RIO GRANDE CITY,TX,78582,STARR,(956) 487-5561,6,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"128  N FM RD 3167 RIO GRANDE CITY, TX 78582 (26.37754, -98.859886)"
370139,STILLWATER MEDICAL - PERRY,501 N 14TH ST,,PERRY,OK,73077,NOBLE,(580) 336-3541,6,S_005_01_DTC_RS_RATE_2_5,52.32,,10/01/2016,09/30/2018,"501 N 14TH ST PERRY, OK 73077 (36.289083, -97.299229)"
370029,ALLIANCEHEALTH CLINTON,100 NORTH 30TH STREET,,CLINTON,OK,73601,CUSTER,(580) 323-2363,6,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"100 NORTH 30TH STREET CLINTON, OK 73601 (35.514789, -98.996879)"
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,JACKSON,AL,36545,CLARKE,(251) 246-9021,4,S_004_01_PPR_PD_OBS_READM,5,,10/01/2016,09/30/2018,"220 HOSPITAL DRIVE JACKSON, AL 36545 (31.530482, -87.89318)"
510048,LOGAN REGIONAL MEDICAL CENTER,20 HOSPITAL DRIVE,,LOGAN,WV,25601,LOGAN,(304) 831-1101,3,S_005_01_DTC_RS_RATE,75.06,,10/01/2016,09/30/2018,"20 HOSPITAL DRIVE LOGAN, WV 25601 (37.846318, -81.994284)"
370089,NORTHEASTERN HEALTH SYSTEM,1400 EAST DOWNING STREET,,TAHLEQUAH,OK,74465,CHEROKEE,(918) 456-0641,6,S_013_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"1400 EAST DOWNING STREET TAHLEQUAH, OK 74465 (35.915326, -94.950558)"
190145,LASALLE GENERAL HOSPITAL,187 NINTH ST/HWY 84 WEST,,JENA,LA,71342,LASALLE,(318) 992-9200,6,S_005_01_DTC_RS_RATE_2_5,Not Available,9,10/01/2016,09/30/2018,
440070,DECATUR COUNTY GENERAL HOSPITAL,969 TENNESSEE AVE S,,PARSONS,TN,38363,DECATUR,(731) 847-3031,4,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"969 TENNESSEE AVE S PARSONS, TN 38363 (35.635713, -88.12317)"
240101,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,1027 WASHINGTON AVE,,DETROIT LAKES,MN,56501,BECKER,(218) 847-0888,5,S_004_01_PPR_PD_OBS,Not Available,1,10/01/2016,09/30/2018,"1027 WASHINGTON AVE DETROIT LAKES, MN 56501 (46.815307, -95.845453)"
240044,WINONA HEALTH SERVICES,855 MANKATO AVENUE,,WINONA,MN,55987,WINONA,(507) 454-3650,5,S_005_01_DTC_RS_RATE,Not Available,1,10/01/2016,09/30/2018,"855 MANKATO AVENUE WINONA, MN 55987 (44.033016, -91.622136)"
380052,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",351 SW 9TH STREET,,ONTARIO,OR,97914,MALHEUR,(541) 881-7000,10,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"351 SW 9TH STREET ONTARIO, OR 97914 (44.025448, -116.975133)"
180019,MEADOWVIEW REGIONAL MEDICAL CENTER,989 MEDICAL PARK DRIVE,,MAYSVILLE,KY,41056,MASON,(606) 759-5311,4,S_004_01_PPR_PD_RSRR_97_5,Not Available,1,10/01/2016,09/30/2018,"989 MEDICAL PARK DRIVE MAYSVILLE, KY 41056 (38.639572, -83.808804)"
250002,TISHOMINGO HEALTH SERVICES INC,1777 CURTIS DRIVE,,IUKA,MS,38852,TISHOMINGO,(662) 423-6051,4,S_006_01_MSPB_SCORE,0.73,,10/01/2016,09/30/2018,"1777 CURTIS DRIVE IUKA, MS 38852 (34.803686, -88.209218)"
450078,ANSON GENERAL HOSPITAL,101 AVENUE J,,ANSON,TX,79501,JONES,(325) 823-3231,6,S_013_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"101 AVENUE J ANSON, TX 79501 (32.768101, -99.895514)"
360142,HIGHLAND DISTRICT HOSPITAL,1275 NORTH HIGH STREET,,HILLSBORO,OH,45133,HIGHLAND,(937) 393-6100,5,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"1275 NORTH HIGH STREET HILLSBORO, OH 45133 (39.221576, -83.608771)"
460007,CEDAR CITY HOSPITAL,1303 NORTH MAIN STREET,,CEDAR CITY,UT,84721,IRON,(435) 868-5800,8,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"1303 NORTH MAIN STREET CEDAR CITY, UT 84721 (37.700591, -113.063985)"
450596,LAKE GRANBURY MEDICAL CENTER,1310 PALUXY RD,,GRANBURY,TX,76048,HOOD,(817) 573-2683,6,S_001_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"1310 PALUXY RD GRANBURY, TX 76048 (32.431845, -97.802729)"
330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,111  CLARA BARTON STREET,,DANSVILLE,NY,14437,LIVINGSTON,(585) 335-6001,2,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"111  CLARA BARTON STREET DANSVILLE, NY 14437 (42.55213, -77.700356)"
380056,SANTIAM HOSPITAL,1401 N 10TH AVENUE,,STAYTON,OR,97383,MARION,(503) 769-2175,10,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"1401 N 10TH AVENUE STAYTON, OR 97383 (44.80524, -122.784124)"
430048,REGIONAL HEALTH SPEARFISH HOSPITAL,1440 N MAIN ST,,SPEARFISH,SD,57783,LAWRENCE,(605) 644-4000,8,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"1440 N MAIN ST SPEARFISH, SD 57783 (44.497887, -103.861136)"
